序号,课程号,课程名称,开课单位,课程类型,班号,学分,起止周,上课时间,教师,备注
1,405596,量子材料前沿讲座,物理学院,专业任选,1,2,1-16,星期三(第7节-第8节),陈昱安,物理楼西563，一学年的课，2024秋季已听讲座的同学选课，研本合上
2,411851,光电功能材料,物理学院,专业任选,1,2,1-16,星期二(第7节-第8节),肖立新,研本合上
3,412250,量子规范场论,物理学院,专业任选,1,4,1-16,星期一(第7节-第8节) 星期三(第3节-第4节),马滟青,研本合上
4,430133,现代电子电路基础及实验 (二),物理学院,专业必修,1,2,1-16,星期一(第5节-第8节),赵建业 任全胜,选课后第一周上课时间段到理科2号楼2259E上绪论大课
5,431132,普通物理 (I),化学与分子工程学院,专业必修,1,4,1-16,星期三(第3节-第4节) 星期五(第1节-第2节),唐宁,理教
6,431148,光学习题课,物理学院,专业必修,1,0,1-16,星期三(第10节-第11节)(单),王树峰,
7,431149,光学讨论班,物理学院,专业必修,1,2,1-16,星期二(第7节-第8节),胡小永,排讨论教室
8,431154,热学,物理学院,专业必修,1,3,1-16,星期四(第10节-第11节),穆良柱,周四10-12三节连上，3学分热学扫尾班，请2023级（含）以前重修、缓考等同学
9,431641,量子力学讨论班,物理学院,专业必修,1,2,1-16,星期三(第5节-第6节),刘佳,排讨论教室
10,432140,电动力学 (A),物理学院,专业必修,1,4,1-16,星期一(第3节-第4节) 星期三(第1节-第2节),朱守华,
11,433327,近代物理实验 (I),物理学院,专业必修,1,3,1-16,,季航,近(I)周三周四平行班选满后，视实验资源手工加学生
12,433328,近代物理实验 (II),物理学院,专业必修,1,3,1-16,星期三(第5节-第12节),冉广照,已修近(I)，按通知 pec.pku.edu.cn选实验
13,434102,物理卓越计划讲堂：名师面对面（二）,物理学院,专业任选,1,1,1-16,星期五(第10节-第11节)(单),高原宁 孙琰,
14,1035003,有机化学实验,化学与分子工程学院,专业必修,1,3,1-16,星期一(第3节-第9节),王婕妤 李田,化学(学号单号)、元培
15,1035170,结构化学讨论班,化学与分子工程学院,专业必修,1,0,3-16,星期二(第10节-第11节)(单),吴忠云,模型课周五13:00-16:00
16,1035180,定量分析化学,化学与分子工程学院,专业必修,1,2,1-16,星期三(第1节-第2节),李娜,
17,1832420,品牌研究,新闻与传播学院,专业必修,1,2,1-16,星期二(第7节-第8节),徐金灿,
18,1834339,国际传播学,新闻与传播学院,通选课,1,3,1-16,星期一(第10节-第12节),王维佳,学院342上课
19,2812980,商务时间序列分析,光华管理学院,专业必修,1,2,1-16,星期四(第10节-第11节),涂云东,光华老楼216，数据科学必修
20,2830140,社会心理学,光华管理学院,专业必修,1,3,1-16,星期二(第7节-第9节),王辉,光华老楼202
21,2831520,会计学,光华管理学院,专业必修,1,3,1-16,星期四(第7节-第8节),伍利娜 张晓君,申请7-9节三节连排
22,2831570,固定收益证券,光华管理学院,专业任选,1,2,1-16,星期五(第3节-第4节),刘琦,金融选修
23,2832110,微观经济学,光华管理学院,专业必修,1,3,1-16,星期一(第7节-第8节),仇心诚,申请7-9节三节连排
24,2832700,定价管理,光华管理学院,专业任选,1,2,1-16,星期二(第5节-第6节),张依,营销选修
25,2834420,证券投资学,光华管理学院,专业必修,1,3,1-16,星期四(第7节-第8节),赵龙凯,申请7-9节三节连排，金融必修
26,2834660,服务业营销,光华管理学院,专业任选,1,2,1-16,星期三(第10节-第11节),彭泗清,营销选修
27,2839190,创业思维,光华管理学院,专业任选,1,2,1-16,星期三(第7节-第8节),张一弛 高岩,
28,2839350,金融建模与量化投资,光华管理学院,专业任选,1,2,1-16,星期一(第5节-第6节),张宇,金融选修
29,2839460,金融中的数学方法,光华管理学院,专业任选,1,3,1-16,星期一(第7节-第8节),李辰旭,申请7-9节三节连排，金融、数据科学选修
30,2839510,科学思维与实践论,光华管理学院,专业必修,1,2,1-16,星期三(第3节-第4节),柏阳 刘俏 周黎安,
31,2839530,经济与管理社会实践,光华管理学院,专业任选,1,1,1-16,星期五(第5节-第8节),沈俏蔚,劳动教育课，仅限光华在籍学生选课
32,2839580,创新创业经济学,光华管理学院,专业任选,1,3,1-16,星期五(第10节-第11节),张晓波 韩鹏飞,申请10-12节三节连排，金经选修
33,2839590,组织经济学,光华管理学院,专业任选,1,2,1-16,星期三(第5节-第6节),刘烁,金经选修，taught in English
34,2839600,高级宏观经济专题,光华管理学院,专业任选,1,3,1-16,星期四(第7节-第8节),罗弥 仇心诚,申请7-9节三节连排，金经选修，taught in English
35,3530442,公共韩国语（二）,外国语学院,全校公选课,1,3,1-16,星期二(第5节-第6节) 星期四(第5节-第6节),朴智娟,本研合上
36,3530452,公共中级韩国语,外国语学院,全校公选课,1,3,1-16,星期二(第7节-第8节) 星期三(第7节-第8节) 星期四(第7节-第8节),朴智娟,
37,3531029,公共波斯语（一）,外国语学院,全校公选课,1,3,1-16,星期二(第10节-第11节) 星期四(第10节-第11节),Bahador Bagheri,本研合上
38,3531048,公共意大利语（二）,外国语学院,全校公选课,1,3,1-16,星期二(第5节-第6节) 星期四(第5节-第6节),Giuseppina Giummarra,本研合上
39,3533660,泰语演讲与叙事,外国语学院,专业任选,1,2,1-16,星期三(第1节-第2节),熊燃 Nattanit Chamsuwanwong(陈丽君),
40,3533712,高年级泰语 (二),外国语学院,专业必修,1,3,1-16,星期一(第1节-第2节) 星期四(第1节-第2节),熊燃 Nattanit Chamsuwanwong(陈丽君),
41,3533811,高年级泰语阅读 (一),外国语学院,专业任选,1,1,1-16,星期二(第5节-第6节),熊燃 Nattanit Chamsuwanwong(陈丽君),
42,3534290,缅甸国情及热点问题研究,外国语学院,专业任选,1,2,1-16,星期四(第3节-第4节),杨国影,
43,3534862,印尼语视听说（二）,外国语学院,专业任选,1,1,1-16,星期一(第5节-第6节),谢侃侃 Hendy Yuniarto(汉迪),
44,3535164,希伯来语(四),外国语学院,专业必修,1,8,1-16,星期一(第3节-第4节) 星期二(第1节-第2节) 星期三(第1节-第2节) 星期四(第1节-第2节) 星期五(第3节-第4节),Chen Tytiun 王宇,
45,3535210,以色列现代史,外国语学院,专业必修,1,2,1-16,星期一(第5节-第6节),王宇,
46,3535782,初级菲律宾语泛读（二）,外国语学院,专业必修,1,3,1-16,星期二(第1节-第2节) 星期四(第3节-第4节),黄轶,
47,3536301,印地语报刊阅读(一),外国语学院,专业必修,1,2,1-16,星期二(第5节-第6节),郭童,
48,3536332,梵语经典选读（二）,外国语学院,专业必修,1,4,1-16,星期一(第5节-第6节) 星期三(第5节-第6节) 星期五(第3节-第4节),叶少勇 范晶晶,
49,3536402,德语(二),外国语学院,专业必修,1,3,1-16,星期二(第5节-第6节) 星期四(第5节-第6节),高鸿,希望在有电梯的低楼层教室上课
50,3536930,高级印地语口语,外国语学院,专业任选,1,2,1-16,星期三(第5节-第6节),姜永红,
51,3537050,乌尔都语语法,外国语学院,专业必修,1,2,1-16,星期四(第5节-第6节),张亚冰,
52,3537282,乌尔都语泛读(下),外国语学院,专业任选,1,1,1-16,星期二(第5节-第6节),张嘉妹,
53,3537511,波斯语视听说(上),外国语学院,专业必修,1,1,1-16,星期二(第3节-第4节),刘英军 Bahador Bagheri,
54,3537702,伊朗历史文明概论(下),外国语学院,专业必修,1,2,1-16,星期一(第1节-第2节),沈一鸣,
55,3537705,苏美尔语语法,外国语学院,全校公选课,1,2,1-16,星期三(第5节-第6节),陈飞,
56,3537707,阿卡德语文献阅读,外国语学院,全校公选课,1,2,1-16,星期二(第5节-第6节),陈飞,
57,3631608,公共高级法语（二）,外国语学院,全校公选课,1,6,1-16,星期三(第10节-第11节) 星期六(第1节-第4节),余红姣 章文,
58,3632608,公共高级德语（二）,外国语学院,全校公选课,1,6,1-16,星期一(第1节-第2节) 星期三(第10节-第11节) 星期五(第10节-第11节),高莹琪 林琳,
59,3633612,公共西班牙语（二）,外国语学院,全校公选课,1,3,1-16,星期二(第5节-第6节) 星期四(第5节-第6节),吕文娜,本研合上
60,3635152,葡萄牙语（二）,外国语学院,专业必修,1,6,1-16,星期一(第1节-第2节) 星期二(第1节-第2节) 星期三(第1节-第2节) 星期五(第3节-第4节),樊星 Ana Claudia,
61,3636082,意大利语笔译(下),外国语学院,专业任选,1,2,1-16,星期一(第3节-第4节),成沫,
62,3636092,但丁的《神曲》（下）,外国语学院,专业任选,1,3,1-16,星期三(第7节-第9节),常无名,
63,3636120,拉丁语文学选读,外国语学院,专业任选,1,2,1-16,星期三(第10节-第11节),常无名,
64,3730822,公共俄语（二）,外国语学院,全校公选课,1,3,1-16,星期一(第10节-第11节) 星期三(第10节-第11节),马尔卡索娃,本研合上
65,3835260,英语名著与电影,英语语言文学系,大学英语,1,2,1-16,星期四(第1节-第2节),钱清,文史楼309
66,3835360,英汉口译,英语语言文学系,大学英语,1,2,1-16,星期二(第5节-第6节),方舒琼,文史楼309
67,3835710,语言、文化与交际,英语语言文学系,大学英语,1,2,1-16,星期一(第5节-第6节),郑萱,
68,3835880,英美报刊选读,英语语言文学系,大学英语,1,2,1-16,星期一(第3节-第4节),许娅,文史楼313
69,3835971,英国现代诗歌,英语语言文学系,大学英语,1,2,1-16,星期二(第1节-第2节),梅申友,文史楼307
70,3835977,美国英语语调和听说语法,英语语言文学系,大学英语,1,2,1-16,星期三(第1节-第2节),梁波,文史楼305
71,3930170,句法学,外国语学院,全校公选课,1,2,1-16,星期二(第7节-第8节),胡旭辉,仅语言学项目同学可选
72,4130004,体育四,体育教研部,体育,0,1,1-16,,,
73,4830450,网络实用技术,信息科学技术学院,全校公选课,1,2,1-6,星期二(第5节-第6节),钱丽艳,从第7周开始上课地点在理科一号楼1235房间。
74,4830494,数据结构与算法上机,信息科学技术学院,理科生必修,1,0,1-16,星期四(第11节-第12节),段凌宇,C语言，5、6号机房
75,4830730,微波技术与电路,信息科学技术学院,专业任选,1,3,1-16,星期一(第1节-第2节)(单) 星期三(第3节-第4节),李艳萍,
76,4830750,光电子技术实验,信息科学技术学院,专业任选,1,2,1-16,,王青 陈景标,
77,4832040,现代无线通信中的新兴技术,信息科学技术学院,专业任选,1,2,1-16,星期一(第5节-第6节),宋令阳,
78,4833470,电磁大数据导论,信息科学技术学院,专业任选,1,2,1-16,星期四(第1节-第2节),李廉林,
79,4833800,电子系统基础训练,信息科学技术学院,专业必修,0,1,1-1,星期三(第5节-第6节),周小计,此班不用选，用于第1周大课安排教室
80,4834600,JavaScript及Web网页前端开发,信息科学技术学院,全校公选课,1,2,1-16,星期四(第5节-第6节),唐大仕,
81,4834750,电子信息技术实践,信息科学技术学院,通选课,0,2,1-1,星期五(第10节-第11节),周小计,第一周大课不用选
82,4834870,Rust程序设计,信息科学技术学院,专业任选,1,2,1-16,星期一(第1节-第2节),张伟,
83,4834950,新型信息器件与未来计算,信息科学技术学院,专业必修,1,3,1-16,星期二(第5节-第6节)(双) 星期四(第3节-第4节),孙仲,
84,4835260,电子信息前沿与顶点实践（下）,信息科学技术学院,专业任选,1,2,1-16,,宋令阳 邸博雅,第一周周四10-11上大课
85,6732030,教育实践与教育创新,教育学院,全校公选课,0,2,1-16,星期三(第7节-第8节),杨钋,
86,6733010,媒介与教育演变,教育学院,通选课,0,2,1-16,星期一(第10节-第11节),郭文茗,
87,6733030,教育与人工智能,教育学院,全校公选课,0,2,1-16,星期三(第10节-第11节),贾积有,
88,6733050,人力资源开发基础,教育学院,全校公选课,0,2,1-16,星期一(第10节-第11节),吴峰,
89,6733070,数字媒体创意设计,教育学院,全校公选课,0,2,1-16,星期三(第5节-第6节),赵国栋,
90,6734040,当代中国考试招生制度改革,教育学院,全校公选课,0,2,1-16,星期二(第3节-第4节),秦春华,
91,6734170,现代中国教育传统及其变迁,教育学院,通选课,0,2,1-16,星期四(第5节-第6节),林小英,开卷考试
92,6734180,慈善信托与慈善教育,教育学院,全校公选课,0,2,1-16,星期四(第3节-第4节),秦春华,
93,6735060,课程与教学导论,教育学院,全校公选课,0,2,1-16,星期四(第10节-第11节),卢晓东 秦春华,
94,6735070,田野研究与专题读书,教育学院,全校公选课,0,1,1-16,,王利平,
95,6735080,教育社会学,教育学院,全校公选课,0,2,1-16,星期四(第7节-第8节),刘云杉,论文，本研合上
96,6735100,教育基础理论,教育学院,全校公选课,0,3,1-16,星期四(第7节-第8节),王利平 孙飞宇,
97,6735110,教育研究前沿专题,教育学院,全校公选课,0,2,1-16,星期一(第5节-第6节),马莉萍 黄晓婷 周雪涵,
98,12732150,环境工程学一,环境科学与工程学院,专业必修,1,2,1-16,星期二(第7节-第8节),谢绍东,
99,21100008,农村儿童营养、健康和发展专题,现代农学院,全校公选课,1,2,1-16,星期一(第5节-第6节),罗仁福,
100,60730020,军事理论,学生工作部人民武装部,军事理论,1,2,1-16,星期一(第1节-第2节),王欣涛 张烨,
101,334591,机器人学实验（一）,工学院,专业必修,1,3,1-16,星期二(第7节-第9节),王启宁 袁小婷,每周增加的两学时为开放实验 机，力机双主修二下上课地点：王克祯楼902
102,405702,微纳光学,物理学院,专业任选,1,3,1-16,星期一(第7节-第9节),胡小永 古英 杨起帆,研本合上
103,407771,核物理与粒子物理实验方法（二）,物理学院,专业任选,1,3,1-16,星期二(第5节-第6节) 星期五(第3节-第4节),班勇 王大勇,研本合上
104,410542,固体理论,物理学院,专业任选,1,4,1-16,星期一(第7节-第8节) 星期三(第3节-第4节),尹澜,研本合上
105,431142,热学,物理学院,专业必修,1,2,1-16,星期五(第3节-第4节),高原宁,卓越班，备用
106,431254,热学习题课,物理学院,专业必修,1,0,1-16,星期一(第10节-第11节)(单),高原宁,
107,431651,平衡态统计物理讨论班,物理学院,专业必修,1,2,1-16,星期四(第7节-第8节),李定平,排讨论教室
108,432520,固体物理习题,物理学院,专业必修,1,0,1-16,星期五(第10节-第11节)(双),吕劲,
109,433640,材料物理,物理学院,专业任选,1,3,1-16,星期一(第7节-第8节),吴孝松,周一7-9三节连上
110,433643,材料物性与器件应用,物理学院,专业任选,1,2,1-16,星期四(第3节-第4节),廖志敏,本研合上
111,1034490,材料化学,化学与分子工程学院,专业任选,1,3,1-16,星期一(第5节-第6节) 星期三(第1节-第2节)(单),孙俊良,本研合上
112,1034551,中级物理化学,化学与分子工程学院,专业任选,1,3,1-16,星期五(第7节-第8节),蒋鸿,7-9节
113,1034710,界面化学,化学与分子工程学院,专业任选,1,2,1-16,星期一(第7节-第8节),黄建滨,本研合上
114,1034980,生物物理化学,化学与分子工程学院,专业任选,1,2,1-16,星期三(第10节-第11节),唐淳 来鲁华,本研合上
115,1035250,化工制图,化学与分子工程学院,专业任选,1,2,1-16,星期二(第3节-第4节),陈庆德,
116,1035290,通用高分子材料——结构、性能与应用,化学与分子工程学院,专业任选,1,2,1-16,星期二(第3节-第4节),陈尔强,本研合上
117,1035340,化学生物学实验,化学与分子工程学院,专业任选,1,2,1-9,星期三(第3节-第9节),贾桂芳 邹鹏 王初,第一周绪论课
118,1035400,药物化学导论,化学与分子工程学院,专业任选,1,2,1-16,星期一(第3节-第4节),刘志博,本研合上
119,1035450,综合创新实验（化学）,化学与分子工程学院,专业任选,1,3,1-16,,王颖霞,
120,1833060,市场营销原理,新闻与传播学院,专业必修,1,2,1-16,星期五(第3节-第4节),高腾飞,
121,1833140,英语公共演讲,新闻与传播学院,专业任选,1,2,1-16,星期三(第10节-第11节),何姝,学院342上课
122,1834200,传播学理论,新闻与传播学院,专业必修,1,3,1-16,星期三(第7节-第8节),王洪喆,上课时间：每周三7-9节
123,1834341,广播电视编导,新闻与传播学院,专业必修,1,2,1-16,星期三(第7节-第8节),陈波,
124,2800190,数字经济,光华管理学院,专业任选,1,2,1-16,星期一(第10节-第11节),黄一泓,新开金经选修，taught in English
125,2806120,随机分析与应用,光华管理学院,专业任选,1,3,1-16,星期二(第7节-第8节),李辰旭,申请7-9节三节连排
126,2830110,人力资源管理,光华管理学院,专业任选,1,3,1-16,星期四(第7节-第8节),任润,申请7-9节三节连排
127,2830240,运营管理,光华管理学院,专业必修,1,2,1-16,星期五(第3节-第4节),郑晓娜,"Room 111, Guanghua building No.1, taught in English"
128,2830290,管理学,光华管理学院,通选课,1,3,1-16,星期一(第10节-第11节),仲为国,申请10-12节三节连排，光华学生不能选修
129,2832540,高级管理会计,光华管理学院,专业任选,1,2,1-9,星期三(第10节-第12节),陈磊,光华老楼113，18:30-22:00，会计选修
130,2832600,营销学原理,光华管理学院,通选课,1,3,1-16,星期二(第10节-第11节),江明华,申请10-12节三节连排，光华学生不能选修
131,2833540,中级财务会计,光华管理学院,专业必修,1,4,1-16,星期一(第7节-第8节) 星期二(第3节-第4节),李琦,会计必修
132,2834020,金融学概论,光华管理学院,通选课,1,3,1-16,星期四(第10节-第11节),李劢,申请10-12节三节连排，光华学生不能选修
133,2834390,战略管理,光华管理学院,专业任选,1,2,1-16,星期三(第5节-第6节),周长辉,
134,2834430,财务报表分析,光华管理学院,专业任选,1,2,1-16,星期一(第3节-第4节),孟为 姜国华,光华老楼113，会计选修
135,2834510,审计学,光华管理学院,专业必修,1,3,1-16,星期二(第7节-第8节),王咏梅,申请7-9节三节连排，会计必修
136,2834870,创业与创新实践,光华管理学院,专业任选,1,3,1-16,星期四(第10节-第11节),黄涛,申请10-12节三节连排
137,2837020,投资银行,光华管理学院,专业任选,1,2,1-14,星期五(第10节-第11节),Michael Pettis,申请10-12节三节连排，taught in English
138,2839070,量化营销模型,光华管理学院,专业任选,1,2,9-16,星期一(第3节-第4节) 星期四(第3节-第4节),刘宏举,数据科学必修
139,2839140,人口经济学,光华管理学院,专业任选,1,3,1-16,星期三(第10节-第11节),周羿,申请10-12节三节连排
140,2839410,运筹优化与最优决策,光华管理学院,专业必修,1,2,1-16,星期五(第3节-第4节),王聪,数据科学必修
141,2930144,法律和社会科学,法学院,专业限选,1,3,1-16,星期三(第7节-第8节),戴昕,本硕合 改7-9
142,2930147,普通法精要（公法）,法学院,专业限选,1,3,1-16,星期日(第1节-第6节),戴昕,本硕合，具体通知参见“法意观天下”公众号
143,2930200,企业法／公司法,法学院,专业限选,1,3,1-16,星期二(第10节-第11节),蒋大兴,改10-12
144,2930208,民法学经典著作选读,法学院,专业任选,1,3,1-16,星期四(第7节-第8节),葛云松,改7-9
145,2930225,职场法治前沿探索,法学院,专业任选,1,2,1-16,星期四(第10节-第11节),阎天,
146,0293028a,金融法/ 银行法,法学院,专业限选,1,3,1-16,星期三(第10节-第11节),洪艳蓉,改10-12
147,3531622,韩国（朝鲜）语时事新闻解读（下）,外国语学院,专业必修,1,2,1-16,星期一(第5节-第6节),宋文志,
148,3531804,韩国（朝鲜）语视听说（四）,外国语学院,专业任选,1,2,1-16,星期二(第3节-第4节) 星期三(第5节-第6节),王丹 LEE SEUNG EUN,
149,3531880,韩国社会的理解,外国语学院,全校公选课,1,2,1-16,星期二(第7节-第8节),金喆奎 KEUMJIA,外院新楼204
150,3532022,基础日语 (二),外国语学院,专业必修,1,6,1-16,星期一(第1节-第2节) 星期二(第3节-第4节) 星期三(第3节-第4节) 星期四(第3节-第4节) 星期五(第1节-第2节),岳远坤 滨田亮辅,
151,3532060,日语写作,外国语学院,专业限选,1,2,1-16,星期三(第7节-第8节),周彤 滨田亮辅,日语专业必修
152,3532220,日语会话,外国语学院,专业必修,1,2,1-16,星期二(第1节-第2节) 星期四(第1节-第2节),周彤 大原圣兰,希望椅子可移动
153,3532266,公共中级日语,外国语学院,全校公选课,1,3,1-16,星期一(第10节-第12节) 星期三(第10节-第12节),杨婷婷 陈立美 王天驰,
154,3532509,日本神话文艺专题,外国语学院,专业任选,1,2,1-16,星期三(第5节-第6节),刘琳琳,
155,3534552,印度尼西亚历史（二）,外国语学院,专业必修,1,2,1-16,星期二(第3节-第4节),谢侃侃,
156,3534856,高级印尼语泛读（二）,外国语学院,专业必修,1,3,1-16,星期二(第7节-第9节),罗杰,7-9节连上
157,3535401,菲律宾语视听说(一),外国语学院,专业必修,1,1,1-16,星期三(第1节-第2节),黄轶,
158,3535772,初级菲律宾语精读（二）,外国语学院,专业必修,1,3,1-16,星期三(第3节-第4节) 星期四(第1节-第2节),史阳,
159,3537502,基础波斯语(二),外国语学院,专业必修,1,7,1-16,星期二(第1节-第2节) 星期三(第1节-第2节) 星期四(第1节-第2节) 星期五(第1节-第4节),时光 刘英军 Bahador Bagheri,
160,3538014,基础阿拉伯语 (四),外国语学院,专业必修,1,6,1-16,星期二(第1节-第4节) 星期三(第3节-第4节) 星期五(第3节-第4节),李睿恒 盖伟江,
161,3538016,基础阿拉伯语（二）,外国语学院,专业必修,1,6,1-16,星期一(第1节-第2节) 星期二(第3节-第4节) 星期三(第3节-第4节) 星期四(第1节-第2节),吴冰冰 付志明 肖坤 李海鹏,
162,3538023,阿拉伯语视听 (三),外国语学院,专业任选,1,1,1-16,星期四(第3节-第4节),袁琳,听力教室
163,3538110,阿拉伯电影赏析,外国语学院,专业必修,1,2,1-16,星期四(第7节-第8节),林丰民,
164,3538116,中东研究经典著作导读与学术写作,外国语学院,专业限选,1,1,1-16,星期四(第5节-第6节),李海鹏 付志明 吴冰冰 林丰民 廉超群 袁琳 肖坤 ALAA ELDIN MAMDOUH SAAD AHMED AKEF 李睿恒,阿语专业必修
165,3538180,阿拉伯伊斯兰文化,外国语学院,专业必修,1,2,1-16,星期三(第5节-第6节),肖坤,
166,3633710,禅与园林艺术,外国语学院,通选课,1,2,1-16,星期四(第7节-第8节),喻天舒,
167,3730072,俄罗斯文学史(二),外国语学院,专业必修,1,2,1-16,星期一(第1节-第2节),陈思红,
168,3730312,俄罗斯文学选读（下）,外国语学院,专业任选,1,1,1-16,星期二(第1节-第2节),刘洪波,
169,3730422,俄语口译(下),外国语学院,专业任选,1,2,1-16,星期四(第5节-第6节),王立刚,
170,3730502,基础俄语(二),外国语学院,专业必修,1,6,1-16,星期一(第3节-第4节) 星期二(第1节-第2节) 星期三(第3节-第4节) 星期四(第1节-第2节) 星期五(第1节-第4节),周海燕 尹旭 王虹元,
171,3730504,基础俄语(四),外国语学院,专业必修,1,5,1-16,星期一(第3节-第4节) 星期二(第1节-第2节) 星期三(第3节-第4节) 星期四(第1节-第2节) 星期五(第1节-第2节),黄颖 王彦秋 刘淼,希望在二教
172,3730512,高级俄语(二),外国语学院,专业必修,1,3,1-16,星期一(第3节-第4节) 星期三(第5节-第6节) 星期五(第3节-第4节),鲍红,
173,3730753,俄语视听说(三),外国语学院,专业任选,1,1,1-16,星期一(第5节-第6节),陈思红,语音教室
174,3730762,俄语新闻听力（下）,外国语学院,专业任选,1,1,1-16,星期二(第5节-第6节),刘浩,
175,3835460,英美戏剧和电影,英语语言文学系,大学英语,1,2,1-16,星期一(第1节-第2节),张红波,文史楼301
176,3835551,高级英语听说,英语语言文学系,大学英语,1,2,1-16,星期三(第5节-第6节),冯利,文史楼314
177,3835740,分析性英语写作,英语语言文学系,大学英语,1,2,1-16,星期三(第3节-第4节),许娅,
178,3835890,汉英翻译理论与实践,英语语言文学系,大学英语,1,2,1-16,星期一(第5节-第6节),余苏凌,文史楼301
179,3835975,19世纪英国女性作家经典作品选读,英语语言文学系,大学英语,1,2,1-16,星期三(第1节-第2节),卢炜,文史楼313
180,3835985,英语散文选读：16世纪至19世纪浪漫主义时期,英语语言文学系,大学英语,1,2,1-16,星期三(第1节-第2节),徐溯,文史楼301
181,3835986,英语散文选读：19世纪维多利亚时期至20世纪,英语语言文学系,大学英语,1,2,1-16,星期三(第1节-第2节),马乃强,文史楼306
182,3835987,英美短篇小说文本分析与鉴赏,英语语言文学系,大学英语,1,2,1-16,星期一(第5节-第6节),茆卫彤,文史楼307
183,3835995,学术英语阅读,英语语言文学系,大学英语,1,2,1-16,星期三(第5节-第6节),方舒琼,文史楼309
184,3930100,全球视野下的犹太文明,外国语学院,通选课,1,2,1-16,星期一(第10节-第11节),杨梦,
185,3930180,语料库语言学,外国语学院,全校公选课,1,2,1-16,星期四(第5节-第6节),苏祺,仅数字人文项目学生可选
186,4031741,马克思主义基本原理,马克思主义学院,思想政治,1,3,1-16,星期一(第7节-第8节),宋朝龙,
187,4130040,健美操,体育教研部,体育,1,1,1-16,星期三(第3节-第4节),袁睿超,女生班  地厅
188,4130110,形体 (女生),体育教研部,体育,1,1,1-16,星期二(第5节-第6节),董进霞,女生班 邱德拔151
189,4130715,飞盘运动,体育教研部,体育,1,1,1-16,星期一(第5节-第6节),钱永健,一体
190,4834800,电子线路分析,信息科学技术学院,专业必修,1,3,1-16,星期一(第7节-第8节) 星期三(第1节-第2节),鲁文高 叶乐,
191,4835140,功率半导体器件原理与应用,信息科学技术学院,专业任选,1,3,1-16,星期一(第3节-第4节) 星期四(第5节-第6节)(双),魏进,
192,12732020,环境管理学,环境科学与工程学院,专业必修,1,4,1-16,星期一(第5节-第6节) 星期四(第3节-第4节),张世秋 梅凤桥 李文军,
193,12732060,环境规划学,环境科学与工程学院,专业任选,1,2,1-16,星期一(第3节-第4节),覃栎,
194,12732170,环境决策案例分析,环境科学与工程学院,专业必修,1,3,1-16,星期五(第7节-第8节),邱兴华 陆克定 刘永 刘建国 戴瀚程 刘颖君,3节连排
195,12733180,大气气溶胶测量技术与实验,环境科学与工程学院,专业任选,1,3,1-16,星期三(第7节-第8节),郭松,3节连排
196,12735090,物理性污染控制,环境科学与工程学院,专业任选,1,2,1-16,星期三(第7节-第8节),童美萍,
197,12735130,环境质量评价,环境科学与工程学院,专业任选,1,2,1-16,星期三(第1节-第2节),赵志杰,
198,12735230,环境科学与工程前沿,环境科学与工程学院,专业任选,1,2,1-16,星期四(第7节-第9节),倪晋仁,本研合上
199,E2800040,组织行为与领导力,光华管理学院,专业任选,1,3,1-16,星期一(第7节-第8节),金孟子,申请7-9节三节连排，taught in English
